date,lower interquartile,upper interquartile,10% of readings fall below this line,10% of readings fall above this line,1981-2010 median,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
June 13,43125,256250,19187.5,414500,96875.0,4000,NA,NA,94000,NA,92000,47000,NA,360000,142000,67000,138000,32000,21000,244000,41000,NA,39000,262000,258000,43000,82000,216000,664000,104000,97000,468000,212000,562000,401000,58000,256000,529000,82000,328000,168000,121000,558000,174000,149000,598000
June 14,59687.5,226562.5,34812.5,406562.5,119375.0,NA,121000,1000,NA,3000,NA,NA,16000,NA,160000,56000,91000,37000,54000,211000,189000,124000,49000,231000,249000,70000,77000,212000,426000,114000,126000,404000,179000,539000,557000,49000,252000,581000,105000,267000,258000,120000,394000,190000,138000,652000
June 15,50000,204687.5,28250,345312.5,95625.0,3000,NA,NA,98000,NA,57000,94000,NA,202000,110000,30000,52000,49000,37000,206000,262000,72000,46000,134000,222000,34000,79000,283000,344000,113000,74000,359000,126000,354000,568000,52000,202000,401000,276000,249000,397000,114000,390000,157000,104000,561000
June 16,61562.5,195390.625,25687.5,287125,99687.5,NA,54000,8000,NA,9000,NA,NA,9000,NA,91000,84000,109000,109000,81000,184000,52000,105000,62000,212000,312000,28000,56000,258000,252000,139000,112000,348000,94000,396000,284000,61000,197000,289000,549000,178000,504000,141000,342000,111000,94000,470000
June 17,57187.5,192812.5,31906.25,277937.5,91875.0,7000,NA,NA,49000,NA,55000,75000,NA,180000,57000,58000,128000,104000,52000,258000,69000,64000,167000,276000,293000,29000,79000,216000,239000,153000,195000,352000,62000,355000,186000,64000,162000,336000,726000,226000,564000,157000,238000,158000,128000,361000
June 18,55000,288750,33500,344875,131250.0,NA,34000,31000,NA,55000,NA,NA,6000,NA,50000,66000,145000,347000,NA,109000,91000,131000,298000,344000,201000,17000,71000,241000,205000,139000,289000,348000,55000,301000,331000,119000,432000,270000,596000,228000,448000,220000,177000,137000,106000,331000
June 19,65468.75,303125,38312.5,347062.5,140312.5,6000,NA,NA,52000,NA,13000,94000,NA,298000,40000,109000,140000,259000,NA,148000,NA,141000,320000,325000,201000,25000,89000,234000,191000,135000,488000,336000,65000,331000,374000,40000,436000,223000,559000,181000,390000,296000,229000,113000,116000,NA
June 20,80078.125,254062.5,36250,328312.5,137187.5,NA,53000,102000,NA,76000,NA,NA,63000,NA,29000,162000,159000,115000,101000,182000,109000,81000,398000,286000,182000,31000,121000,214000,167000,154000,411000,291000,81000,268000,321000,63000,406000,201000,625000,234000,324000,352000,NA,118000,91000,NA
June 21,74921.875,235625,39187.5,303125,163125.0,11000,NA,NA,21000,NA,38000,66000,NA,282000,39000,172000,181000,175000,149000,72000,94000,24000,222000,309000,182000,41000,154000,226000,178000,263000,379000,302000,93000,296000,239000,111000,341000,242000,734000,274000,253000,456000,321000,109000,109000,NA
June 22,92500,276875,54062.5,350937.5,169375.0,NA,99000,157000,NA,92000,NA,NA,68000,NA,46000,94000,178000,172000,192000,164000,84000,111000,308000,277000,184000,46000,167000,277000,224000,350000,359000,382000,141000,321000,218000,124000,393000,286000,641000,215000,229000,454000,256000,95000,178000,NA
June 23,87187.5,297656.25,44062.5,380562.5,187187.5,14000,NA,NA,113000,NA,18000,44000,NA,299000,41000,188000,160000,203000,172000,386000,82000,69000,140000,292000,229000,29000,236000,206000,218000,376000,380000,326000,354000,418000,187000,64000,439000,316000,694000,217000,254000,346000,431000,111000,219000,NA
June 24,93515.625,288906.25,67750,374687.5,169375.0,NA,69000,81000,NA,114000,NA,NA,24000,NA,48000,107000,147000,188000,174000,460000,114000,70000,165000,290000,286000,82000,199000,178000,158000,356000,326000,312000,366000,525000,211000,79000,451000,337000,565000,219000,394000,384000,591000,133000,212000,NA
June 25,113125,280625,58312.5,358500,191875.0,16000,52000,NA,65000,NA,15000,192000,NA,202000,16000,NA,149000,113000,98000,344000,235000,116000,149000,293000,345000,103000,137000,273000,167000,412000,290000,281000,234000,581000,251000,66000,461000,274000,451000,2.00E+05,489000,442000,596000,211000,178000,NA
June 26,117187.5,290312.5,61031.25,367250,243125.0,NA,33000,366000,NA,264000,NA,NA,39000,NA,25000,70000,124000,115000,82000,284000,292000,211000,249000,316000,354000,269000,162000,382000,184000,438000,248000,250000,238000,660000,286000,104000,366000,221000,522000,205000,468000,402000,499000,212000,177000,NA
June 27,174375,325625,72500,431125,233125.0,22000,NA,NA,59000,NA,86000,186000,NA,224000,64000,65000,174000,233000,89000,202000,272000,NA,207000,305000,319000,473000,180000,383000,636000,421000,171000,239000,244000,706000,290000,326000,362000,284000,574000,158000,389000,374000,466000,230000,NA,NA
